Statistical profiling result from isolate-0x1bd8d000-2870177-v8.log, (16812 ticks, 5394 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    272    1.6%          /usr/lib/x86_64-linux-gnu/libc.so.6
      4    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33

 [JavaScript]:
   ticks  total  nonlib   name
   2612   15.5%   15.8%  JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    782    4.7%    4.7%  Builtin: StringAdd_CheckNone
    777    4.6%    4.7%  Builtin: RecordWriteSaveFP
    700    4.2%    4.2%  JS: *startObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:93:16
    683    4.1%    4.1%  JS: *match /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:269:10
    547    3.3%    3.3%  JS: *endObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:119:14
    394    2.3%    2.4%  JS: *matchFrom /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/YAJSPath.js:96:14
    344    2.0%    2.1%  JS: *onValue /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:197:12
    290    1.7%    1.8%  JS: *push /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamPosition.js:121:9
    285    1.7%    1.7%  JS: *onColon /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:106:18
    232    1.4%    1.4%  Builtin: GrowFastSmiOrObjectElements
    228    1.4%    1.4%  JS: *StreamPosition /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamPosition.js:9:16
    204    1.2%    1.2%  Builtin: StoreIC
    170    1.0%    1.0%  Builtin: KeyedLoadIC_Megamorphic
    164    1.0%    1.0%  JS: *startObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/dispatcher/AbstractObjectBuilder.js:17:16
    150    0.9%    0.9%  Builtin: StrictEqual
    138    0.8%    0.8%  Builtin: StringEqual
    134    0.8%    0.8%  JS: *startArray /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:145:15
    132    0.8%    0.8%  Builtin: JSConstructStubGeneric
    115    0.7%    0.7%  Builtin: CreateObjectWithoutProperties
    113    0.7%    0.7%  Builtin: CloneFastJSArray
    101    0.6%    0.6%  JS: *AbstractFilteredOperator /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/operator/AbstractFilteredOperator.js:7:16
     91    0.5%    0.6%  Builtin: KeyedLoadIC_PolymorphicName
     86    0.5%    0.5%  Builtin: FastNewObject
     84    0.5%    0.5%  JS: *emit node:events:455:44
     69    0.4%    0.4%  JS: *onEndObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:115:22
     65    0.4%    0.4%  JS: *endArray /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:185:13
     64    0.4%    0.4%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
     58    0.3%    0.4%  Builtin: ArrayPrototypeShift
     57    0.3%    0.3%  Builtin: MapConstructor
     46    0.3%    0.3%  JS: *enterValue /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:222:15
     43    0.3%    0.3%  Builtin: CallFunction_ReceiverIsAny
     41    0.2%    0.2%  Builtin: KeyedLoadIC
     38    0.2%    0.2%  Builtin: CEntry_Return1_ArgvOnStack_BuiltinExit
     32    0.2%    0.2%  JS: *popContainer /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:248:17
     31    0.2%    0.2%  Builtin: KeyedLoadICTrampoline_Megamorphic
     30    0.2%    0.2%  JS: *startObjectEntry /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:131:21
     30    0.2%    0.2%  Builtin: JSBuiltinsConstructStub
     28    0.2%    0.2%  JS: *requireValuePosition /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:209:25
     27    0.2%    0.2%  Builtin: CallWithArrayLike
     24    0.1%    0.1%  Builtin: NewRestArgumentsElements
     19    0.1%    0.1%  Builtin: CallVarargs
     19    0.1%    0.1%  Builtin: ArrayPrototypeConcat
     15    0.1%    0.1%  JS: *peek /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/dispatcher/AbstractObjectBuilder.js:45:9
     15    0.1%    0.1%  Builtin: KeyedLoadICTrampoline
     15    0.1%    0.1%  Builtin: AdaptorWithBuiltinExitFrame0
     14    0.1%    0.1%  JS: *<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/wasm-experiment/e2e.js:17:16
     14    0.1%    0.1%  Builtin: Call_ReceiverIsAny
     13    0.1%    0.1%  JS: *pushContainer /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:240:18
     13    0.1%    0.1%  Builtin: LoadIC
     12    0.1%    0.1%  JS: +parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     12    0.1%    0.1%  JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/antlr4ts/misc/BitSet.js:1:1
     10    0.1%    0.1%  JS: *tryComma /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:271:13
      9    0.1%    0.1%  Builtin: FastNewClosure
      7    0.0%    0.0%  Builtin: InterpreterEntryTrampoline
      6    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      6    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
      5    0.0%    0.0%  JS: +isEmpty /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/lodash/lodash.js:11578:21
      5    0.0%    0.0%  JS: *isEmpty /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/lodash/lodash.js:11578:21
      5    0.0%    0.0%  Builtin: BaselineOutOfLinePrologue
